1,2,3
pedal,,
peddle,,
peer,,
pier,,
persecute,,
prosecute,,
personal,,
personnel,,
phase,,
faze,,
phenomenon,,
phenomena,,
phone,,
phono,,
physical,,
fiscal,,
plain,,
plane,,
plead,,
plead,,
plumb,,
plum,,
pomp,,
circumstance,,
pore,,
pour,,
practicable,,
practical,,
pray,,
prey,,
precede,,
proceed,,
premier,,
premiere,,
prescribe,,
proscribe,,
presently,,
at present,,
presume,,
assume,,
principal,,
principle,,
profit,,
prophet,,
profligate,,
prolific,,
purposely,,
purposefully,,
WORDS,,
quash,,
squash,,
quiet,,
quite,,
quote,,
quotation,,
WORDS,,
raise,,
raze,,
rap,,
wrap,,
rap,,
wrap,,
rarely,,
seldom,,
rational,,
rationale,,
real,,
really,,
reason,,
reason why,,
rebut,,
refute,,
recede,,
recess,,
receive,,
perceive,,
recipe,,
receipt,,
recollect,,
remember,,
refer,,
allude,,
referendum,,
referenda,,
regard,,
regards,,
respect,,
regretful,,
regrettable,,
reign,,
rein,,
reins,,
reluctant,,
reticent,,
remember,,
recollect,,
respect,,
regard,,
restaurateur,,
restauranteur,,
reticent,,
reluctant,,
revenge,,
avenge,,
revert,,
reverse,,
right,,
rite,,
write,,
ring,,
wring,,
rise,,
raise,,
role,,
roll,,
roomer,,
rumor,,
root,,
rout,,
WORDS,,
sacrament,,
sacrilege,,
sale,,
sell,,
salvage,,
selvage,,
same,,
very,,
sandwich,,
sandwhich,,
sat,,
sat,,
satire,,
satyr,,
scarcely,,
hardly,,
schedule,,
schedule,,
sea,,
see,,
seal,,
ceil,,
seam,,
seem,,
seen,,
seen,,
scent,,
sent,,
seam,,
seem,,
semimonthly,,
bimonthly,,
sensor,,
censor,,
censure,,
sensual,,
sensuous,,
serf,,
surf,,
WORDS,,
set,,
sit,,
sew,,
so,,
sow,,
shake,,
sheik,,
shear,,
sheer,,
shine,,
shine,,
shoe in,,
shoo in,,
should of,,
should have,,
sight,,
cite,,
site,,
site,,
cite,,
sight,,
skate,,
skein,,
slight,,
sleight,,
so,,
sew,,
sow,,
sole,,
soul,,
some,,
sum,,
son,,
sun,,
staid,,
stayed,,
stair,,
stare,,
stake,,
steak,,
steal,,
steel,,
stationary,,
stationery,,
statue,,
statute,,
stature,,
storey,,
story,,
straight,,
strait,,
suit (n),,
suite (n),,
sundae,,
Sunday,,
supposedly,,
supposably,,
WORDS,,
taut,,
taught,,
team,,
teem,,
tenant,,
tenet,,
than,,
then,,
their,,
there,,
they're,,
theirself,,
theirselves,,
themself,,
themselves,,
threw,,
through,,
throes,,
throws,,
thyme,,
time,,
to,,
too,,
two,,
tortuous,,
torturous,,
toward,,
towards,,
tragedy,,
travesty,,
tranquil,,
tranquil,,
treaty,,
treatise,,
trenchant,,
mordant,,
trial,,
tribal,,
troop,,
troupe,,
truly,,
truely,,
try and,,
try to,,
tumultuous,,
tumultuous,,
two,,
to,,
too,,
type,,
type of,,
tyro,,
tyro,,
WORDS,,
unexceptionable,,
unexceptional,,
unique,,
unique,,
uninterested,,
disinterested,,
untenable,,
untenuous,,
upmost,,
utmost,,
urban,,
urbane,,
usage,,
use,,
use,,
utilize,,
WORDS,,
vain,,
vane,,
vein,,
valance,,
valence,,
valid,,
sound,,
verbal,,
oral,,
veritable,,
in fact,,
very,,
same,,
vice,,
vise,,
viewpoint,,
point of view,,
virtually,,
actually,,
virtuous,,
virtuoso,,
visible,,
invisible,,
vocation,,
avocation,,
volume,,
volumn,,
WORDS,,
waive,,
wave,,
want,,
lack,,
wants,,
lacks,,
warrent,,
warrant,,
weather,,
whether,,
wet,,
whet,,
which,,
witch,,
who's,,
whose,,
wont,,
won't,,
worse,,
worse,,
wrap,,
rap,,
write,,
right,,
rite,,
wrong,,
wrong,,
WORDS,,
yoke,,
yolk,,
your,,
you're,,
